Info_ClassId,Info_Title,Info_Content,Info_Time,info_bt,info_keywords,info_description
研究团队,联系我们,"<DIV>  
<DIV><STRONG>上海&nbsp; 新城市</STRONG></DIV>  
<DIV>地址：上海市杨浦区淞沪路605号B座4F</DIV>  
<DIV>电话：021-61234018</DIV>  
<DIV>传真：021-61234019</DIV>  
<DIV>电邮：<A href=""mailto:newland_sh@163.com"">newland_sh@163.com</A></DIV>  
<DIV>邮编：200433</DIV>  
<DIV>&nbsp;</DIV></DIV>  
<DIV><STRONG>深圳&nbsp; 新城市</STRONG></DIV>  
<DIV>地址：深圳市龙岗区中心城清林中路39号新城市大厦10-12F</DIV>  
<DIV>电话：0755-33839999</DIV>  
<DIV>传真：0755-33832999</DIV>  
<DIV>电邮：<A href=""mailto:nlt@163.net"">nlt@163.net</A></DIV>  
<DIV>邮编：518172</DIV>  
<DIV>&nbsp;</DIV>  
<DIV>  
<DIV><FONT face=Verdana><STRONG>各部门联系人信息</STRONG></FONT></DIV>  
<P>  
<TABLE style=""BORDER-COLLAPSE: collapse"" borderColor=threeddarkshadow cellSpacing=1 cellPadding=1 border=1>  
<TBODY>  
<TR>  
<TD vAlign=top width=114>  
<DIV>部门</DIV></TD>  
<TD vAlign=top width=114>  
<DIV>单位</DIV></TD>  
<TD vAlign=top width=147>  
<DIV>联系电话</DIV></TD></TR>  
<TR>  
<TD vAlign=top width=114>  
<DIV>上海分公司</DIV></TD>  
<TD vAlign=top width=114>  
<DIV>&nbsp;</DIV></TD>  
<TD vAlign=top width=147>  
<DIV>021-61234018</DIV></TD></TR>  
<TR>  
<TD vAlign=top width=114 rowSpan=5>  
<DIV>&nbsp;</DIV>  
<DIV>&nbsp;</DIV>  
<DIV>规划事业部</DIV></TD>  
<TD vAlign=top width=114>  
<DIV>城市规划所</DIV></TD>  
<TD vAlign=top width=147>  
<DIV>0755-33839803</DIV></TD></TR>  
<TR>  
<TD vAlign=top width=114>  
<DIV>城市设计所</DIV></TD>  
<TD vAlign=top width=147>  
<DIV>0755-33839819</DIV></TD></TR>  
<TR>  
<TD vAlign=top width=114>  
<DIV>城市研究所</DIV></TD>  
<TD vAlign=top width=147>  
<DIV>0755-33835686</DIV></TD></TR>  
<TR>  
<TD vAlign=top width=114>  
<DIV>城市发展所</DIV></TD>  
<TD vAlign=top width=147>  
<DIV>0755-33839838</DIV></TD></TR>  
<TR>  
<TD vAlign=top width=114>  
<DIV>城市景观所</DIV></TD>  
<TD vAlign=top width=147>  
<DIV>0755-33839851</DIV></TD></TR>  
<TR>  
<TD vAlign=top width=114 rowSpan=2>  
<DIV>建筑事业部</DIV></TD>  
<TD vAlign=top width=114>  
<DIV>建筑方案所</DIV></TD>  
<TD vAlign=top width=147>  
<DIV>0755-33839686</DIV></TD></TR>  
<TR>  
<TD vAlign=top width=114>  
<DIV>建筑设计所</DIV></TD>  
<TD vAlign=top width=147>  
<DIV>0755-33839797</DIV></TD></TR>  
<TR>  
<TD vAlign=top width=114 rowSpan=3>  
<DIV>&nbsp;</DIV>  
<DIV>市政事业部</DIV></TD>  
<TD vAlign=top width=114>  
<DIV>道&nbsp; 路&nbsp; 所</DIV></TD>  
<TD vAlign=top width=147>  
<DIV>0755-33837880</DIV></TD></TR>  
<TR>  
<TD vAlign=top width=114>  
<DIV>公&nbsp; 用&nbsp; 所</DIV></TD>  
<TD vAlign=top width=147>  
<DIV>0755-33838102</DIV></TD></TR>  
<TR>  
<TD vAlign=top width=114>  
<DIV>交&nbsp; 通&nbsp; 所</DIV></TD>  
<TD vAlign=top width=147>  
<DIV>0755-33839100</DIV></TD></TR>  
<TR>  
<TD vAlign=top width=114 rowSpan=2>  
<DIV>&nbsp;</DIV>  
<DIV>综合事业部</DIV></TD>  
<TD vAlign=top width=114>  
<DIV>办&nbsp; 公&nbsp; 室</DIV></TD>  
<TD vAlign=top width=147>  
<DIV>0755-33832111</DIV></TD></TR>  
<TR>  
<TD vAlign=top width=114>  
<DIV>招商运营处</DIV></TD>  
<TD vAlign=top width=147>  
<DIV>0755-33832333</DIV></TD></TR></TBODY></TABLE></P></DIV>  
<DIV>&nbsp;</DIV>  
<DIV>&nbsp;</DIV>",04/07/2008 21:55:43,,,
公司介绍,私募情报网,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;私募情报网成立于股改元年2005年；是由中国股市的第一批操盘手，职业投资家创立的；并获得美国华尔街“太阳基金”投资1亿美金。目前我们的操盘团队管理资金规模约为1000亿元人民币。分散在全国各个营业部中。  
<P><FONT size=2>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 目前私募情报网已经与中国60家基金公司，82家券商，以及游资活跃的营业部，1200多家上市公司建立了情报渠道，并和国内的私募基金有密切而紧密的联系与合作。</FONT></P> 
<P><FONT size=2>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 目前我们的操盘团队约30人，鉴于目前的国情，我们只是操作自己的资金；我们并不接受资产管理（委托给我们理财四六分成的模式）；我们只是提供给大家私募情报和信息服务。我们相信，私募情报网提供的情报，百发百中，绝无失手。</FONT></P> 
<P>&nbsp;</P>",06/21/2008 15:33:53,,,
研究团队,操盘团队,"<DIV><STRONG>操盘手：丁丰</STRONG></DIV> 
<DIV>&nbsp;&nbsp;&nbsp; 经历过“上山下乡”的老三届，恢复高考后进入中国人民大学政治经济学系，1982年毕业后任职国家部委，1987年后辞职下海，在海南炒期货，兼炒股票；95年以后退出实业界，专心致力于资金的保值增值；1999年以后集中所有资金杀入股市至今。现为公司首席操盘手。</DIV> 
<DIV>&nbsp;</DIV> 
<DIV><STRONG>操盘手：晋离</STRONG></DIV> 
<DIV>&nbsp;&nbsp;&nbsp; 海归精英，1992年毕业于美国西北大学金融系。后加入华尔街某私募基金，1999年回国定居上海。先后成立自己的操盘团队，接受高端客户的理财，获得了极大的成功。目前为职业股市炒家。现为公司操盘手。</DIV> 
<DIV>&nbsp;</DIV> 
<DIV>。。。。。。&nbsp;&nbsp;&nbsp; 。。。。。。</DIV> 
<DIV>&nbsp;</DIV> 
<DIV><STRONG>操盘手：观音雄兵</STRONG></DIV> 
<DIV>&nbsp;&nbsp;&nbsp; 擅长操作ST股票，曾从政，官拜地委书记；后专心投资股市，2004年以来管理的公司资金增值100倍。5年100倍，这不是一个神话，是职业投资家的运气加上私募情报的专注。</DIV> 
<DIV>&nbsp;</DIV> 
<DIV><STRONG>操盘手：紫橦</STRONG></DIV> 
<DIV>女&nbsp; 浙江温州人，原为公司的高级客户，后来在短短两年时间内其委托给公司的1000万资金翻到了2个亿。现已放弃实业，为公司的操盘手，主要操作自己的资金。</DIV> 
<DIV>&nbsp;</DIV> 
<DIV><BR> 
<P><B>【知名营业部介绍】</B> <BR><BR><BR><B><FONT color=#0000ff>国信证券旗下知名营业部</FONT> <BR></B>国信证券股份有限公司深圳泰然九路证券营业部（★★★★★） <BR>点评：广东游资的主战场，也是全国最活跃的营业部之一，有市场人士将他称为超级游资。偏好炒作新股及重组题材，常以自买自卖的形式出现在龙虎榜上，介入的异动股都是在第一次涨停后数日才会发动主升浪行情。该营业部一般选择盘子小的非基金重仓股，且前期没有大资金流入的痕迹。然后制定一套完整的操作方案，最主要的内容就是止损点在什么地方，一般来说，市场环境好的时候，获取15％就考虑清仓出货，而市场环境不好的时候，获利5％就会考虑出货，而无论市场环境如何，在亏损达到5％的时候就会立即清仓。<BR>国信证券股份有限公司深圳红岭中路证券营业部（★★★★★） <BR>点评：该营业部是老牌劲旅，藏龙卧虎，总成交金额曾经连续17年稳坐全国头把交椅，虽然从近年的市场操作来看，其影响力已经逐渐降低，但顶着“深圳最老的营业部”的头衔，依然在市场有着相当广的人气。在市场上广为流传的红岭私募内参就是依靠红岭中路营业部的盛名而得以声名远播的。<BR>国信证券股份有限公司深圳福中一路证券营业部（★★★★） <BR>点评：该营业部各项设施完备一流，具备安全、快捷的交易跑道硬件优势，这大大提高了投资者抢到无量板的概率。今年该营业部在无量板屡有斩获，颇引人关注。该营业部曾成功买入复牌“一”字涨 停的新希望、*ST威达等。另，在深物业A(7月22日)和武汉塑料(5月6日) 无量涨停的当日，其更是成为全国唯一吃进这两只股票的营业部。<BR>国信证券股份有限公司深圳深南中路证券营业部（★★★☆） <BR>点评：老牌敢死队，原国信证券三部。出手颇为大气，几乎每一次上榜资金量都在千万级以上，每一次下单也往往以10000手直接封在涨停线上，吸筹纳股。在数只深南中路涉及的其他股票上也表现出了类似的特征：先是该股票已经出现了1-2个涨停板，然后利好消息释放，游资大举进入，通过短期内自买自卖、大笔资金拉起等方式不断创造涨停板，最后游资在高点撤离，股价疲软。<BR>国信证券股份有限公司广州东风中路证券营业部（★★★） <BR>点评：广州第一大游资，超短线操作为主，对市场热点的把握也较为明快。 <BR>国信证券股份有限公司上海北京东路证券营业部（★★★★） <BR>点评：被市场人士称为上海地区证券营业部的“四大天王”之首，偏好打新，以资金深不可测而闻名，操作特点极为凶悍，出货不计成本。 <BR>国信证券股份有限公司义乌稠州北路证券营业部（★★★☆） <BR>点评：炒作手段颇为生猛，频频现身于创业板个股的龙虎榜上。 <BR>国信证券股份有限公司杭州体育场路证券营业部（★★★☆） <BR>点评：最热衷炒作创业板。 <BR><BR><FONT color=#0000ff><B>银河证券旗下知名营业部</B> <BR></FONT>中国银河证券股份有限公司北京金融街证券营业部（★★★★☆） <BR>点评：坐拥两市7.5%的限售市值，营业部掌握的客户资产总值约为7000亿元。该营业部最早的成名源于2008年，并一度以大鳄据守地而成为数一数二的最牛营业部。<BR>中国银河证券股份有限公司上海东方路证券营业部（★★★★） <BR>点评：该营业部寄居着一些具有“敢死队”性质私募基金，经常活跃在龙虎榜上。 <BR>中国银河证券股份有限公司上海江苏北路证券营业部（★★★） <BR>点评：游资集中的营业部，曾于09年8月炒作过牛股双钱股份。 <BR>中国银河证券股份有限公司宁波解放南路证券营业部（★★★★☆） <BR>点评：“敢死队”的发源地，江浙游资的代表之一，偏好炒作新股，以及市场的主流热点。 <BR>中国银河证券股份有限公司宁波大庆南路证券营业部（★★★★） <BR>点评： （原和义路）宁波“敢死队三剑客”之一，09年最活跃的一家江浙游资营业部，偏爱炒作中小盘概念股。</P> 
<P>中国银河证券股份有限公司厦门美湖路证券营业部（★★★★）</P> 
<P>点评：该营业部在2010年初声名鹊起，曾经参与炒作华谊兄弟、风神股份、如意集团、启明星辰、莱茵生物等，似乎只要是该营业部游资介入的股票，都能涨停。&nbsp;<BR><BR><B><FONT color=#0000ff>光大证券旗下知名营业部</FONT></B> <BR>光大证券股份有限公司宁波解放南路证券营业部（★★★★★） <BR>点评：著名的游资大本营，与泰然九路齐名。 <BR>光大证券股份有限公司宁波槐树路证券营业部（★★★★） <BR>素有涨停板敢死队之称，东方证券上海宝庆路“马甲”之一。 <BR>光大证券股份有限公司深圳深南中路证券营业部（★★★★★） <BR>点评：光大系敢死队三巨头之一，该营业部对小题材小盘股总不太“感冒”，其要么全程炒作大题材，通过对多只相关概念股的打板深化题材炒作，要么就藏身于流动性强的大盘股中进行炒作。 <BR>光大证券股份有限公司深圳深南大道证券营业部（★★★） <BR>点评：该营业部经常与光大宁波解放南路同进同出，曾不断成功炒作区域概念。 <BR>光大证券股份有限公司金华双溪西路证券营业部（★★★★） <BR>点评：青睐当天买入，次日卖出，09年9月炒作牛股海王生物的主力营业部之一。 <BR>光大证券股份有限公司绍兴中兴中路证券营业部（★★★☆） <BR>点评：09年10月30日创业板开板以后，频繁炒作创业板个股的高手。 <BR>光大证券股份有限公司上海张杨路证券营业部（★★） <BR>点评：潜伏吸筹把握第二波行情，素来以操作手法凶悍，喜好连续拉涨停而著称。 <BR><BR><B><FONT color=#0000ff>国泰君安证券旗下知名营业部</FONT> <BR></B>国泰君安证券股份有限公司上海打浦路证券营业部（★★★★） <BR>点评：业内分析认为，该营业部是“宁波敢死队”的据点之一。值得注意的是，该营业部极少参与次新股炒作，但每次参与，基本都有机构席位助阵。 <BR>国泰君安证券股份有限公司成都北一环路证券营业部（★★★★） <BR>点评：老牌敢死队，连续三年夺得成都地区交易额冠军，对各类题材均有涉猎。 <BR>国泰君安证券股份有限公司深圳益田路证券营业部（★★★☆） <BR>点评：偏好炒作题材，操作手法彪悍，该营业部的一批私募游资，基本上都经历过08年股市雪崩冲击，从6000点到1664点的惨痛记忆令其一有风吹草动便迅速出逃。 <BR>国泰君安证券股份有限公司上海江苏路证券营业部（★★★★） <BR>点评：老牌游资集聚的营业部，营业部的前身是“老君安”的常德路营业部，多年来成交量一直是排名前几位，坊间传闻该营业部的总资产超过400亿元，被称为“制造亿万富豪的基地”，偏好炒作题材。<BR>国泰君安证券股份有限公司上海杨树浦路证券营业部（★★★☆） <BR>点评：偏好炒作题材，追涨是该营业部的一大特点。 <BR>国泰君安证券股份有限公司杭州庆春路证券营业部（★★☆） <BR>点评：实力游资营业部，偏好重组题材，坚守“短平快”的投资思路。 <BR><BR><FONT color=#0000ff><B>财通证券旗下知名营业部</B> <BR></FONT>财通证券有限责任公司温岭东辉北路证券营业部（★★★★☆） <BR>点评：温岭仅有的两家营业部之一，另一家是中信金通温岭东辉北路，均是涨停敢死队啸聚之地，以炒作题材股为主。 <BR>财通证券有限责任公司绍兴人民中路证券营业部（★★★★☆） <BR>点评：同样以炒作题材股为主，值得注意的是，该营业部介入的一般是持续上涨股票。 <BR><BR><FONT color=#0000ff><B>中信金通证券旗下知名营业部</B> <BR></FONT>中信金通证券有限责任公司杭州文三路证券营业部（★★★☆） <BR>点评：08年9月开业，是杭州本土的知名游资营业部。 <BR>中信金通证券有限责任公司温岭东辉北路证券营业部（★★★★） <BR>点评：温岭仅有的两家营业部之一，涨停敢死队啸聚之地，以炒作题材股为主。 <BR>中信金通证券有限责任公司义乌化工路证券营业部（★★★★） <BR>点评：传说中的“义乌纵队”，经常采用拉高出货或T+0的办法，对投资者颇有迷惑性。 <BR>中信金通证券有限责任公司杭州延安路证券营业部（★★★★★） <BR>点评：前身便是大名鼎鼎的东吴证券杭州文晖路——游资中最为专一的营业部，对短炒节奏把握精到。 <BR><BR><B><FONT color=#0000ff>中信建投证券旗下知名营业部</FONT> <BR></B>中信建投证券有限责任公司成都市马家花园证券营业部（★★★★） <BR>点评：成都本土游资传统所在地，居09年成都地区营业部交易额排名第四位，似对盘中急拉个股有独到理解。 <BR>中信建投证券有限责任公司武汉市中北路证券营业部（★★★☆） <BR>点评：该营业部比较低调，但颇具短线实力，并且操作深市的股票较多，主导了多个品种的上涨，对大盘股也是虎视眈眈。 <BR>中信建投证券有限责任公司武汉市建设八路证券营业部（★★★☆） <BR>点评：操作上偏好首日买入后于次日大量卖出。09年11月该营业部炒作莲花味精时，其快进快出的风格表现得淋漓尽致。 <BR>中信建投证券有限责任公司上海世纪大道证券营业部（★★★☆） <BR>点评：该营业部去年的排名是2192名，今年竟然奇迹般地上升到82名，堪称年度进步最快的营业部。其今年的风生水起，除了自身的业务扩张外，与其他众多营业部联手也有关系，其中包括光大证券上海张杨路营业部。 <BR><BR><B><FONT color=#0000ff>中金公司旗下知名营业部</FONT><BR></B>中国国际金融有限公司上海淮海中路证券营业部（★★★★★） <BR>点评：QFII扎堆，其购买的品种几乎全部是大盘蓝筹股或基金重仓股，且多是通过大宗交易平台进行买卖。 <BR>中国国际金融有限公司北京建国门外大街证券营业部（★★★★☆） <BR>点评：与中金公司上海淮海中路操作手法类似。 <BR>中国国际金融有限公司深圳福华一路证券营业部（★★★） <BR>点评：刚刚崛起的一个游资席位，该席位就是一个1亿元的大户作为，操作手法上以快进快出为主。<BR><BR><B><FONT color=#0000ff>中信证券旗下知名营业部</FONT></B> <BR>中信证券股份有限公司上海番禺路证券营业部（★★★） <BR>点评：偏好炒作中小板个股。 <BR>中信证券股份有限公司佛山湖景路证券营业部（★★★） <BR>点评：市场传言08年名震江湖、后来消失的中信佛山季华路的营业部主力很可能去了现在的湖景路。该营业部对市场把握很到位，而且一般死扛，碰到抛压不撤单。 <BR><BR><B><FONT color=#0000ff>广发证券旗下知名营业部</FONT></B> <BR>广发证券股份有限公司辽阳民主路证券营业部（★★★★） <BR>点评：该营业部去年曾因爆炒过多只牛股而获“私募猎人”的称号，今年其风头更为强劲，颇显涨停敢死队风范。资金实力超级强大，据传该营业部储备资金有31.30亿，不愧为北方涨停敢死队的大队长。也有传闻称这家营业部的游资以前是炒期货出身的。操作风格激进，介入的多是风险较大的股票，同个账户中对倒是拿手绝活。<BR>广发证券股份有限公司南京北京东路证券营业部（★★★☆） <BR>点评：特点鲜明，坚持今天买、明天不论盈亏必出手的铁律。 <BR><BR><B><FONT color=#0000ff>海通证券旗下知名营业部</FONT></B> <BR>海通证券股份有限公司深圳红岭中路营业部（★★★★） <BR>点评：涨停板敢死队大本营，传闻、主流热点，以及题材均是其炒作的目标。 <BR>海通证券股份有限公司上虞百官镇营业部（★★★） <BR>点评：隐藏着数个资金量多达数千万元的绍兴本地私募大鳄，轮番轰炸创业板。 <BR><BR><B><FONT style=""BACKGROUND-COLOR: #ffffff"" color=#0000ff>东方证券旗下知名营业部</FONT></B> <BR>东方证券股份有限公司上海肇嘉浜路证券营业部（★★★★） <BR>点评：惯用“声东击西”战术，利用分仓将同一概念的龙头股二次拉升，从而达到自己出货的目的。特点是以短炒为主，素有短炒专家称号，赚上一两个点便跑。原是上海宝庆路营业部，炒作触角不仅仅是股票，还热衷于炒作权证。<BR>东方证券股份有限公司上海宝庆路证券营业部（★★★☆） <BR>点评：绝对的短炒营业部，快进快出两天一个来回。这家营业部操作权证也非常出名。 <BR>东方证券股份有限公司上海宛平南路证券营业部（★★★） <BR>点评：以擅长炒作权证出名，偏好大盘股，其介入的个股很可能连续走强。 <BR><BR><B><FONT color=#0000ff>华泰证券旗下知名营业部</FONT> <BR></B>华泰证券股份有限公司江阴福泰路证券营业部（★★★☆） <BR>点评：打新“专业户”，上榜大多在新股的首日交易日。从09年12月11日到10年1月底，36个交易日，在该营业部交易的新股高达47只，几乎涉及所有新近上市的主板、中小板和创业板股票。 <BR>华泰证券股份有限公司江阴虹桥北路证券营业部（★★） <BR>点评：该营业部在市场中较为低调，不受人瞩目，但在全国的十强营业部中综合指标排名第七。 <BR>华泰联合证券有限责任公司成都浣花北路证券营业部（★★★☆） <BR>点评：敢死队聚集地，善于跟风炒作热点题材，跻身09年成都地区营业部交易额排名前十。 </P> 
<P>华泰证券股份有限公司南京长江路证券营业部（★★★☆）</P> 
<P>点评：新科“敢死队”，2010年11月份沪市最活跃的营业部，一个月内上榜50次以上。</P> 
<P><BR><BR><B><FONT color=#0000ff>招商证券旗下知名营业部</FONT></B> <BR>招商证券股份有限公司深圳益田路免税商务大厦证券营业部（★★★★） <BR>点评：该营业部实力相当惊人，大户云集，客户当中超过80%属于资金量在80万以上的私人大户。前身是招商证券振华路营业部，曾连续十多年名列深圳证券营业部交易量榜首位置，2007年6月迁址后改名为招商证券益田路免税商务大厦营业部。 <BR>招商证券股份有限公司广州天河北路证券营业部（★★） <BR>点评：该营业部荣获第一届“广东省优秀营业部称号”，客户数、托管资产、交易量等指标在广州券商营业部中历年都名列前茅。<BR><BR><B><FONT color=#0000ff>宏源证券旗下知名营业部</FONT></B> <BR>宏源证券股份有限公司宜兴人民中路证券营业部（★★★☆） <BR>点评：点评：该营业部实力雄厚，经常出现1天5000万买1个股票。按照成交金额排序，催生09年牛股的第四大营业部。操作上和一般游资的思路不一样，胆大心细，敢为常人所不敢为，喜欢接盘，尤其是高位接盘。 <BR>宏源证券股份有限公司深圳上步中路证券营业部（★★★） <BR>点评：2010年初频繁出没于海南和福建板块，一跃成为区域概念炒作龙头，进而声名鹊起。在操作上注意市场合力的配合，且背靠实力强大的深圳资金，炒作节奏显得更好，持续性更强。 <BR><BR><B><FONT color=#0000ff>申银万国证券旗下知名营业部</FONT></B> <BR>申银万国证券股份有限公司湖北武汉中山路营业部（★★★） <BR>点评：一线游资营业部，习惯集体作战，波段操作为主。 <BR><BR><B><FONT color=#0000ff>渤海证券旗下知名营业部</FONT></B> <BR>渤海证券股份有限公司上海彰武路证券营业部（★★★☆） <BR>点评：稳扎稳打，一段时期内专攻一只个股。 <BR><BR><B><FONT color=#0000ff>国元证券旗下知名营业部</FONT></B> <BR>国元证券股份有限公司上海虹桥路证券营业部（★★★★☆）<BR>点评：从操作手法及出现频率来看，其应属于老牌敢死队，嗅觉灵敏一直是其捕获牛股的杀手锏。由于该营业部经常与市场几家知名敢死队营业部联合出现，不排除其是一些大鳄的分仓席位。 <BR><BR><B><FONT color=#0000ff>方正证券旗下知名营业部</FONT> <BR></B>方正证券有限责任公司广州小北路证券营业部（★★★☆） <BR>点评：擅长短线频繁炒作，特点是“快、准、狠”，基本上今天买，明天卖，极少在一只个股上停留超3天，选股时能及时把握热点，且只选小盘股。 <BR><BR><B><FONT color=#0000ff>浙商</FONT></B><B><FONT color=#0000ff>证券旗下知名营业部</FONT> </B><BR>浙商证券有限责任公司上海万航渡路证券营业部（★★★） <BR>点评：该营业部2010年联手制造了牛股科冕木业的传奇，擅长自买自卖上演对敲游戏，即一个或多个主力利用拉锯方式在各营业部之间报价交易，左手出右手进，筹码在几个仓库之间来回颠倒，以制造有利于庄家的股票价位，吸引散户跟进或卖出。该营业部选股思路独特，偏好流通股本未超过3000万股的超级小盘股。<BR><BR><B><FONT color=#0000ff>金元证券旗下知名营业部</FONT></B> <BR>金元证券股份有限公司成都二环路证券营业部（★★★☆） <BR>点评：日渐风生水起的游资集聚地，该营业部主力多从以概念、题材股着手，参考资金突破方向，快速建仓，顺势拉抬，并快速出货。深居此处的游资应该以私募为主，而该营业部最大的客户便是权证大鳄肖海东。 <BR><BR><B><FONT color=#0000ff>江海证券旗下知名营业部</FONT></B> <BR>江海证券经纪有限责任公司深圳宝安南路证券营业部（★★） <BR>点评：超级散户“黄丽娟”隐身于此营业部。“黄丽娟”的名字曾在多家上市公司的十大流通股股东、独立董事、监事会名单中隐现，但多是屡闻其名、未得其踪。 <BR><BR><B><FONT color=#0000ff>天一证券旗下知名营业部</FONT></B> <BR>天一证券有限责任公司宁波解放南路证券营业部（★★） <BR>点评：风格比较保守，习惯利用市场朦胧的消息短炒个股。 <BR><BR><B><FONT color=#0000ff>兴业证券旗下知名营业部</FONT></B> <BR>兴业证券股份有限公司福州湖东路证券营业部（★★★☆） <BR>点评：按照成交金额排序，催生09年牛股的第九大营业部。2010年11月份与华泰证券南京长江路证券营业部同时现身江苏吴中、中科英华、西藏药业、力帆股份、亚盛集团等个股龙虎榜，不排除这两个营业部的游资来自同一机构，或者来自紧密联系且一致行动的机构。 <BR><BR><B><FONT color=#0000ff>五矿证券旗下知名营业部</FONT></B></P> 
<P>五矿证券经纪有限责任公司深圳华富路证券营业部（★★★☆） <BR>点评：该营业部近期频频现身龙虎榜，据悉，其前身正是此前风光一时的“五矿翻身路”，而最初，人们则叫它“方正小北路”。</P> 
<P><BR><BR><B>【主力风格总结】</B> <BR><BR><BR>QFII云集中金公司淮海中路营业部，申银万国新昌路营业部及瑞银证券，有以券商自营的中信证券营业部，广发证券营业部，海通证券及东方证券营业部，有老牌劲旅光大证券上海张杨路，靠着低佣金的策略来吸引客户，更有以打新资金出名的中信建投证券北京三里河路营业部。综观全局，私募游资席位处于群雄割锯状态，新一代活跃游资出现，老一代游资退潮。 <BR><BR>最后需要补充的是，2009年以来，成都有三家营业部值得关注，他们分别是金元证券成都二环路、国泰君安成都北一环路、联合证券成都浣花北路。另外，广发证券辽阳民主路营业部和银河证券厦门美湖路营业部都是新的藏龙卧虎之地。 <BR><BR>除了这六大主力，其余还有传闻中正在筹备的平准基金，有被市场称为“国家队”的中投公司和汇金公司，还有某些产业资本等等，而随着解禁股的解禁，“大小非”显然已成为市场上最大的空头力量，其中最神秘的私募游资大户是活跃在中国证券市场上最耀眼的明星，希望通过分析能使各位掌握最活跃主力的动向，在今后的操作中无论是学习也好，引以为戒也好，都希望对大家的操作有一定的帮助。 <BR><BR>最后，提醒各位，按业内操盘手的说法，其强弱顺序应该为游资大户，私募基金，公募基金、券商自营及集合理财产品、社保资金和保险资金。 </P><BR><BR><BR><BR><BR><BR><BR><BR><BR></DIV>",12/15/2010 09:18:37,,,
公司地图,,,12/15/2010 09:21:55,,,
广告服务,,,12/15/2010 09:23:57,,,
合作伙伴,,,12/15/2010 09:40:33,,,
法律声明,,,12/15/2010 09:40:40,,,
人员招聘,,,12/15/2010 09:40:52,,,
联系我们,联系我们,"<P><IMG src=""/media/upimages/20101224122834208.gif"" border=0><FONT color=#ff0000 size=7><STRONG>021-- 31262135</STRONG></FONT></P> 
<P><FONT face=楷体_GB2312 color=#ff0000 size=5><STRONG>（开盘时间不建议您拨打我们的电话；收盘后可以详细交流市场情报情况，交流市场热点，主流股票情况）</STRONG></FONT></P>",12/15/2010 09:40:59,,,
中国大陆A股实盘账户,2010年12月16日上市公司内幕信息,"<DIV>据传，传国海证券借壳ST集琦上市已经获批，同时关注索芙特，桂东电力 <BR>据传，浙江龙盛（600352）收购美国德司达,业绩弹性较大。 <BR>据传，秦川发展(000837)陕西省的机床工具企业即将重组，组建陕西秦川机床工具集团 <BR>据传，华谊兄弟（300027）非诚勿扰2即将全国上映，或成股价催化剂 <BR>据传，佛塑股份（000973）比亚迪高级副总裁李柯(Stella Li)称，该公司正与洛杉矶官员就向该市供应纯电动公交车进行谈判。 <BR>据传，重庆百货(600729)公司重组预案正在证监会审查阶段，年底前基本能够完成全部程序实现并表。 (密切关注，不排除年底获得正式文件的可能)<BR>据传，卫士通（002268）云计算将有最新进展，近日即将公告大单合同，三十研究所将启动注入优质资产工作，中金赵晓光将重点推荐。 <BR>据传，时代万恒（600241）将注入一个储量3000吨的锰矿 <BR>据传，北化股份（002246）兵器工业即将启动资产注入工作。 <BR>据传，兆驰股份（002429）公司大举进军LED市场，近期推出股权激励方案，全年业绩0.8元，年报10送10股。</DIV>",12/16/2010 14:12:00,,,
